Job Title,Job Description,Company Name,Location
iOS Developer,"Location: At HO

Responsibilities

Design and build applications for the iOS platform
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization, and automating code generation

Skills

Proficient with Objective-C or Swift, and Cocoa Touch
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of Apple’s design principles and interface guidelines
Knowledge of low-level C-based libraries is preferred
Experience with performance and memory tuning with tools
Familiarity with cloud message APIs and push notifications
Knack for benchmarking and optimization
Proficient understanding of code versioning tools
Familiarity with continuous integration
Salary will be commensurate with skill/knowledge level and experience, and will match the best in the industry.

Please send your latest Resume (in Word/PDF format) with passport size photograph (in JPG format) to careers@citspl.com mentioning the Job Code and location preference (for non HO openings).

In case you have applied within the last 6 months, we request you to apply again after 6 months have elapsed since your last application.

Any Queries May Please Be Sent To The Email ID Mentioned Above Only.

We Will Not Be Able To Respond To Career Related Queries By Phone.","Catalyst IT solutions
5.0",At
iOS Application Developer,"What are we looking for?

We are looking for an iOS Engineer who is a talented super ninja programmer and is interested in being part of a platform that handles millions of requests per day. Continuous integration, auto-scaled rolling releases, event-driven microservice architectures are all part of the daily gig. We are a team of 4,000 ambitious and curious people building trading platforms that are used by hundreds of millions of people every month to buy and sell almost anything.

What will you be doing?
You will work closely with other teams from the early stages of design all the way through identifying and resolving production issues.
You will support a wide range of products focusing on automation, availability and performance and above all reliability as well as supporting other engineers and business intelligence leading up to, during and after each sprint.
You will live true to our ambitions of building an industry leading platform which is relentlessly focused on innovation.
Develop elegant solutions for complex problems.
Write architecturally sound and maintainable code following best programming practices.
Work in a mentoring capacity within a peer-programming environment and provide guidance on tasks, irrespective of complexity or scale.
Handle the entire software development life cycle, end to end.
Unit-test code for robustness, including edge cases, usability and reliability.
Working with our testing team to ensure 100% test coverage.
Discovering and implementing the newest technologies.
Who are we looking for?
4+ years experience of iOS development and Swift.
A deep understanding of Cocoa-touch
A good understanding of Swift
A diverse portfolio of previously built iOS apps
Have published at least one or more iOS App to the market
You can talk all day about Core data, Core Animation and Core Graphics
Current knowledge of mobile architecture, landscape, trends and emerging markets
The ability to create world leading beautiful and elegant user interfaces
A solid understanding of RESTful applications
A solid understanding of the different caching techniques you can apply when developing a mobile app
A solid understanding of how to create data structures and ORM
Understanding of Agile methodologies and SCRUM
You understand git commands and have a GitHub or Bitbucket account
Problem solving; Analytical thinking; Conceptual thinking; Detail oriented;
Excellent communication and interpersonal skills. This is an absolute must. We have heated debates around complicated subjects and you will be expected to defend your points of view.
Ability to prioritize tasks and quickly adjust in a rapidly changing environment.
What do you need to know about us?
OLX India is part of the OLX Group, a global product and tech company with 17 brands, 40+ countries, 4000+ people and one mindset.
Our mission is to make it easier for people to buy and sell almost anything, promoting prosperity in local communities.
We are proud to be different, and we work differently too. We combine the spirit and agility of a start-up with the maturity that comes from being part of a 100-year-old company.
We are curious, ambitious and allergic to corporate interference. We improvise, experiment and push each other further, embracing uncertainty and driving change.","OLX Group
3.6",New Delhi
iOS Mobile App Developer,"Requisition ID: 258004
Work Area: Software-Design and Development
Expected Travel: 0 - 10%
Career Status: Professional
Employment Type: Regular Full Time

COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.

Ariba, an SAP company, is the world’s business commerce network. We help companies extend their business commerce processes into the Cloud, where they can use our Procurement solutions and the Ariba Network to find opportunities to cut costs, reduce risk, and grow revenue through better collaboration with trading partners. The Ariba Network is the world’s largest trading partner community with more than $600B of commerce flowing through and more than 1.7 million businesses in 190 countries around the world, with a new business joining Ariba Network every two minutes. Together with SAP, we are combining the best of both companies to fuel a whole new way of doing business in today's digital economy.

Curious? Take a peek into Ariba products: https://www.youtube.com/watch?v=TeaUEBvH5UU

The Role
Deliver across the entire app life cycle –concept, design, build, deploy, test, release to app stores and support
Working directly with developers and product managers to conceptualize, build, test and realize products
Gather requirements around functionality and translate those requirements into elegant functional solutions
Build prototypes at tech scoping stage of projects
Working along the web developers to create and maintain a robust framework to support the app and working with the front end developers to build the interface with focus on usability features
Create compelling device specific user interfaces and experiences
Standardizing the platform and in some cases apps to deliver across multiple brands with minimal duplication of effort and optimizing performance for the apps
Keep up to date on the latest industry trends in the mobile technologies
Explain technologies and solutions to technical and non-technical stakeholders
Role Requirements
Bachelor's in computer science or equivalent work experience
3 to 5+ years of development experience developing production grade software
Proven commercial software development experience – desktop and mobile
Published examples of mobile applications on the App store or the Android market
Excellent knowledge in information architecture, human computer interaction and usability design principles
Ability to multi task and good time management skills
Preferred Qualifications
Strong OO design and programming skills in Swift
Familiar with iOS SDK (UI Kit, Cocoa Touch, Core Data, Core Location, etc) and experience building web and native apps
Familiar with xCode
Experience integrating with RESTful API backends
Good understanding of OO programming and design patterns Good understanding of HTML5, JavaScript, jQuery, Ajax and database queries
Using version control (e.g. Git)
Excellent debugging and optimization skills
WHAT YOU GET FROM US

Success is what you make it. At SAP, we help you make it your own. A career at SAP can open many doors for you. If you’re searching for a company that’s dedicated to your ideas and individual growth, recognizes you for your unique contributions, fills you with a strong sense of purpose, and provides a fun, flexible and inclusive work environment – apply now.

SAP'S DIVERSITY COMMITMENT
To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.

SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com).

Successful candidates might be required to undergo a background verification with an external vendor.

Additional Locations:","SAP
4.6",Bengaluru
IOS Developer,"At ZOHO, we're building the most integrated suite of business products that exist on the cloud. With over 20 million users working online using ZOHO, your work impacts a wide variety of businesses across the world. Join us on this exciting and satisfying journey to build smart software for growing businesses.

We're expanding and would love to have you as part of our growth. ZOHO is now hiring ' IOS Developer' If you're excited to be part of a winning team, ZOHO is a perfect place to get ahead.
Experience: 1 to 4 years
Job description:

1+ year of experience in iOS Development.
Deep understanding of the iOS platform.
Should be proficient in Objective C and Swift language.
Experience in developing libraries in iOS.
Should be strong in logical and analytical thinker.
Should have strong troubleshooting skills.","Zoho
4.4",Chennai
iOS Developer,"Experience: 2-4 years
Location: Pune Bangalore

Requirements:
Design and build advanced applications for the native iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Skills:
Proficient with Objective-C and/or Swift, Cocoa Touch
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Understanding of Apple’s design principles and interface guidelines
Knowledge of low-level C-based libraries is preferred
Experience with performance and memory tuning with tools such as Instruments
Familiarity with cloud message APIs and push notifications
Knack for benchmarking and optimization
Proficient understanding of code versioning tools
What You Need for this Position

You should have knowledge of:
Swift
Objective C DB
Design Patterns
UI understanding
Aditional
No. of Positions
Education level
Career level
Experienced","Bloom Consulting Services
4.8",Pune
iOS Developer,"Job brief:

We are looking for an iOS developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the iOS version of ShareChat.

Responsibilities:

Design and build applications for the iOS platform Collaborate with cross-functional teams to define, design, and ship new features. Unit-test code for robustness, including edge cases, usability, and general reliability. Work on bug fixing and improving application performance. Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Requirements:

-BS/MS degree in Computer Science, Engineering, or a related subject.

-2+ years of working experience in iOS development.

-Have published one or more iOS apps in the app store.

-A deep familiarity with Swift and Cocoa Touch.

-Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.

-Experience with third-party libraries and API’s Must be familiar with RESTful APIs to connect iOS applications to back-end services.

-Experience with cloud message APIs and usage of push notifications.

-Knowledge of code versioning tools such as Git.","sharechat
4.1",Bengaluru
iOS Developer,"Looking for a swift developer to build an app

Job Types: Full-time, Part-time, Temporary, Contract

Experience:
total work: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19","Vibertech
3.0",Hyderabad
iOS Developer,"About Flock

Flock is founded by Bhavin Turakhia. Bhavin has also been the Founder / Co-Founder of Media.net, Directi, Radix, Ringo, Codechef and Zeta. These businesses comprise of 1500+ people, 8+ offices, 10+ million customers, revenues over $250+ million and a group enterprise value of over $1.4 billion.

Flock is an enterprise messaging and collaboration app that aims at increasing productivity and improving team-communication in organizations of all shapes and sizes. At Flock, we believe that enterprise communication should be richer and efficient. With that goal, we have developed and deployed an outstanding suite of products that enhances workplace communication and productivity.

Flock’s feature set includes :

Secure one on one chat/ Group chat
Video conferencing
Audio Conferencing
Process Automation
Real time business process and workflow automation
Mailing lists… and much more

With teams at companies like Tim Hortons, Victorinox, Aranca, Mothercare, Ricoh and Ituran improving their workplace collaboration using Flock, we are already helping teams have richer and more efficient communication around the globe.

Benefits and Perks

We at Flock love our jobs. And it’s no surprise – we get to work on exciting, new projects with some of the best brains in the industry, and that too in a vibrant atmosphere that is designed to be comfortable and conducive for our personal and professional growth.

And Flock goes the extra mile to make you feel at home. We offer benefits ranging from affordable catered meals and even snacks on the house. Our works places are welcoming and fun, complete with bean bag chairs and ping pong tables. You are free to wear what makes you comfortable and choose the hours you keep, as a team. Oh, and we’ve got your family covered too, with great health insurance plans and other benefits. In short, everything you need to be your best self at work!

We are passionate about helping teams move to the next level of communication and collaboration, and believe that happy employees are key to achieving this goal.

If you like the idea of working on cutting-edge technologies and solutions that have a truly global impact, get in touch!","Flock
4.1",Bengaluru
iOS Developer- Ground Transport,"Responsibilities:
Design and build advanced app features for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Requirements
3+ years of iOS development
Candidate should have strong experience of Data Structures, algorithm and oops concept
Have published one or more iOS apps in the app store
A deep familiarity with Objective-C, Swift and Cocoa Touch
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text
UI development with Interface Builder and Code, including AutoLayout
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle","Goibibo
4.0",Bengaluru
iOS Developer,"Position Overview:
We are looking for iOS Developers responsible for the design and development of high volume end user products aimed at a range of iOS devices. Your primary focus will be development of iOS applications and shipping the project/module you own. A commitment to collaborative problem solving, high quality code, and a passion for technology is essential.

Responsibilities:
Design and build applications for the iOS platform using Swift, Rx Swift, and Objective-C.
Gradually take on more responsibility and have a bigger impact, take on more challenging tasks, mentor others, lead a module, manage a team.
You own your modules end-to-end. We provide a sandbox to experiment and trust you to work through issues and deliver.
Stay up-to-date with technical trends. Be a part of RSL's learning culture by giving Tech Talks.
Skills:
3-5+ Years Experience.
Development experience in Objective-C, Swift or Rx Swift.
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Understanding of Apples design principles and interface guidelines.
Knowledge of the iOS ecosystem and the libraries available for common tasks.
Self-motivated, eager to learn, with strong logical reasoning skills.
Passion for quality.
Perks:
Core, hands-on development work on live projects.
Great compensation packages and bonuses, directly tied to your performance.
Laid back culture, no dress code. Free daily catered lunch, free medical and life insurance.
Why Should You Join Us
Work Culture: Working under friendly and Cool environment.
No Politics: We always try to keep away from all sorts of politics.
Learn and Grow Opportunities: Working will Senior Experts on live projects will help anybody to grow.
Opportunities to Work On Technology of Startups Ideas from Scratch.
Bangalore, India’s IT Silicon Valley
Work from anywhere, we really least care about the Work Location.","Appriffy-Digital IT Hub
4.8",Bengaluru
iOS Developer,"What we expect from you?
Collaborate with cross-functional teams to define, design, and ship new features
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Objective C-Programming and debugging skills
C/C++ programming and debugging skills
Good understanding of Mac OS X, packaging and Xcode
Good understanding of Apple frameworks like Cocoa Touch, Core Data and Networking, Push Notifications, and Passbook
Good understanding of multi-threaded application development, data structures and algorithms
Good understanding of HTTP, REST, XML/JSON
Good understanding of third-party frameworks like Facebook, AFNetworking, Twitter etc.
Objected oriented programming concepts and Design Patterns
Expertise in iOS 6, iOS 7, IDE Xcode 4 & above
Atleast one live application on App Store (experienced developer)
Knowledge on submitting app on AppStore successfully (experienced developer)

Note
Candidates applying for this position need to send us the link to their portfolio along with their CV.
What we can offer
A fresh and inspiring atmosphere with a lot of passionate people
A solid salary and a responsible position in our company
A fantastic workspace you will love
We want to hear from you
Why don't go ahead and send us a video clip of yourself, giving us a creative brief of who you really are.Once you're done with that, jobs@bookmyshow.com :).","Bigtree Entertainment Pvt.Ltd.
3.9",Pune
iOS Developer,"Requirements:
0-3 Years of experience developing iOS/Android/React apps.

Good understanding of Swift Fundamentals, Good understanding of Design Patterns, Research Oriented

Good at Logical thinking and Problem solving

Follows iOS/Android/React Coding Standards and delivers quality products

Understanding of Git Workflow

Good at code commenting & documentation

Process Complaint

Proficient with communication""

Your Responsibilities:
Carry out daily development tasks on a timely basis.

Develop well-tested modules.

Write proper code documentation and comments.

Ensure the code quality and standards followed throughout the project.

Following the Git workflow and processes on a daily basis.

Efficiently communicate with the team","Nickelfox
5.0",Noida
iOS Developer,"2 to 4 years of development and delivery experience in iOS, at least 2 apps should be in App Store
Proficient in Swift 4.0 or later
Experience with iOS frameworks such as UIKit, Maps, Core Location, Core Bluetooth and Core Animation etc.
Familiarity with MVVM, Test drive development(TDD)
Experience with third-party libraries such as Alamofire etc. and APIs Solid understanding of the full mobile development life cycle
Proficient in RESTful APIs
Proficient in Git
Familiarity with push notifications and cloud message APIs etc.
Experience with offline storage, threading, and performance tuning, optimisation
Experience with performance and memory tuning with tools such as xcode Instruments and Shark
Experience in writing unit and functional tests
Perform bug fix and improve application performance
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Strong UX/UI design exposure and experience in making apps work intuitively and with pixel perfect interfaces. Understanding of Apple’s design principles and human interface guidelines
Strong CS fundamentals (with competencies in algorithms and data structures)
Highly accountable and takes ownership, with collaborative attitude, and a lifelong learner.
Job Type: Full-time

Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Required)
Swift (Required)
Work Remotely:
Yes","Yulu Bike
3.2",Bengaluru
iOS Developer,"Job Location – Pune – India
Required experience – 3+ Years

Innoplexus at its core uses AI to provide non-obvious insights to researchers by acquiring and analyzing the word’s knowledge in bioinformatics.

Our products leverage proprietary algorithms and patent pending technologies to help global Life sciences & Financial services organizations with access to relevant data, real time intelligence & intuitive insights, across the life cycle of the products.

We automate the collection, curation, aggregation, analysis & visualization, of billions of data points from thousands of data sources, using domain-specific language processing, ontologies, computer vision, machine learning, network analysis and more.

You are the right person in our team if you can:
Proficient with Swift (Mandatory)
Experience with iOS frameworks such as Core Data, Core Animation, etc.(Realm & Charts Framework is plus)
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of Apple’s design principles and interface guidelines
Solid understanding of the full mobile development life cycle and data structures
Have published one or more iOS apps in the app store
Experience in integrating SSO and auth modules or libraries
Extremely good in data structures
Good understanding of design patterns like MVC, MVVM
Working experience with Framework development and Pod Integration
Familiar with SSO and OAuth

We need you to have:
Bachelor’s or master’s degree in Computer Science or Engineering

To excel in this job, you must bring 3+ years experience in:
iOS Development
Swift
Cocoapods

Innoplexus believes in the power of collaboration and teamwork. You will work and grow alongside creative thinkers to turn great ideas into reality. We will help you develop your skills with training courses and knowledge sharing.","Innoplexus
4.0",Pune
iOS Developer,"Qualification : Any Graduate
Experience : 4 - 5 Years
Work Location : Coimbatore
No.of Openings : 1

Job Responsibilities :
Design and build applications for the iOS platform.
Ensure the performance, quality, and responsiveness of applications.
Collaborate with a team to define, design, and ship new features.
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization and automation.

Skills :
Proficient with Objective-C or Swift and Cocoa Touch
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of Apple’s design principles and interface guidelines
Knowledge of low-level C-based libraries is preferred
Experience with performance and memory tuning with tools.
Knack for benchmarking and optimization","Latlon Technologies
4.6",Coimbatore
iOS Developer,"iOS Developer
Job Id
TC-DV-290120-001
Experience
2 to 4 Years
Job Location
Kolkata / Pune
Academics
BE/B.Tech, BCA, MCA
Marks
60% throughout (preferable)
Salary
As per Industry Standards
Requirements:

Strong knowledge of Swift and Objective-C.
Understanding of iOS design principles and interface guidelines.
Experience with Offline storage, Threading, Storyboard, Auto-layout and performance tuning.
Practical knowledge of Git and its applications.
Strong knowledge of iOS Architectures.
Familiarity with Apple services like Apple Push Notification Services, In-app Purchase.
Familiarity with REST API to connect iOS applications with back-end services.
Knowledge of the open-source iOS ecosystem and the libraries available for common tasks.
Experience with App Store application configuration and review process.
Ability to communicate well in English with clients abroad.
Ability to work in a team.

Job Responsibilities:

Translate designs and wireframes into high quality code.
Designing and developing advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-testing code for robustness, including edge cases, usability, and general reliability.
Bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Work with the team to meet the project deadlines.

Good To have
Experience in building complex applications.
Knowledge of Multi Language support in apps.
Knowledge about payment gateway integration.
Knowledge of social integration like facebook, Google etc.
Knowledge of doing application development on different device types and different
orientations.
Your Gain
You will be working with a dynamic and dedicated team in various complex projects and will get guidance from seniors regarding scalable architecture.","Innofied Solution
4.7",Pune
iOS Developer,"Responsibilities and Duties:
Design and build applications for iOS
Develop ideas, processes, and clearly express them
Work on REST API and core data
End to end flow from design to testing
Integrate with our backend services to make sure we are delivering a great mobile user experience that's super-fast for end users
Required Experience: Minimum 6 Months

Required Skills:
IoT networked device mobile app expertise
Translation of designer mock-ups and wireframes into front-end code
App integration with device’s networked interface and our existing backend infrastructure and APIs
Unit testing with Karma
Excellent mobile app and IoT security experience, including encrypted connections, OAuth2, and secure wireless connections.
Familiarity with mobile API services
Salary: as per industry
Send Your Updated Resume at info@webrication.com","Webrication
5.0",Noida
IOS App Developer Intern,"We're seeking an enthusiastic and groomed iOS mobile application developer who's willing to learn and work on new stuff beyond mobile application development. You'll be working with lots of new front-end and back-end technologies, having the opportunity to make larger and wider impact on our products.

Responsibilities:
Design, code, analyze, and test systems for iOS applications.
Introduce and present the use/nuances newly designed products to clients.
Handle software updates, patches, and bug fixes.
Develop applications for time-sensitive projects while considering business/system requirements.
Communicate with a team of developers, designers, project managers, and other personnel to ship new features.
Maintain project, drafts, files, codes and scripts in an organized manner that allows other team members to make edits/suggestions/changes.
Continually learn about new programming languages, operating system updates, and other information that will affect the functions of applications in development.

Follow us on :","ideamagix
4.0",Mumbai
iOS Developer,"Work Experience: 3-5 years
Location: Gurugram, India
iOS Developer

We are looking for someone with good experience in iOS / iPhone applications development with:

– Strong Object Oriented design and programming skills in SWIFT
– Good working experience in iOS SDK (Cocoa Touch, UIKit, Core Data, Core Location, etc.) and XCode
– Experience in web services integration (REST APIs, JSON, XML), to connect iOS applications to back-end services
– Experience with offline storage, threading, and performance tuning is desired
– Understanding of Apple’s design principles and interface guidelines
*Responsibilities**
– Involvement in all aspects of development: playing a critical role in design, planning, development and deployment and help develop best practices for future development.
– Fast prototyping of proof-of concept features / applications based on brief.
– Developing and maintaining new features in Mobile Application development.
– Own the delivery of an entire piece of a system or application.
– Use technical knowledge and creative thinking to provide the most innovative solutions.
– Optimizing performance of the apps and keeping up to date with the latest industry trends in mobile technologies.
*Non-Technical Skills**
– Must have good oral and written communication skills
– Must be dedicated to deliver high quality work and adhering to timelines
– Must be a good team player, good learner and a self starter
– Must have an ability to work independently
– Must have good analytical and problem solving skills","BigStep Technologies
4.9",Gurgaon
iOS Developer,"Platform: MAC OS
Dev Tool: XCode, Interface Builder, Instruments, iPhone Configuration Utility, Application loader, Cocoa XCode
Should be technically sound in Java, C, C++
Should be good in logic & reasoning
Good understanding of OOP concept
Good knowledge of Objective C, Swift 3.0 and 4.0
Should be good in auto layout, story board and core data concept
Should have good communication skill
Should have experience working on complex projects

Minimum qualification:
B.Tech/B.E. (Computer Science/IT/Electronics)
MCA
Computer diploma in development with 3+ years of experience compulsory","KiwiTech
3.9",Noida
iOS Developer,"Responsibilties
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Requirements
BS/MS degree in Computer Science, Engineering or a related subject.
Proven working experience in software development.
Working experience in iOS development.
Have published one or more iOS apps in the app store.
Deep familiarity with Objective-C and Cocoa Touch.
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics, and Core Text.
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Experience
2-4 Years
Location
Ahmedabad","Global Vincitore
5.0",Ahmedabad
iOS Developer,"We are looking for an expert developer with superstar iOS development skills. Working as part of a cross-functional team following agile practices to deliver iOS apps. You will be expected to follow best software practices including testing, test automation, code reviews, refactoring and pairing.

Key Responsibilities:
Deliver and maintain new and existing iOS Apps.
Support your team to meet sprint commitments.
Ensure that impediments of any kind are escalated and long term solutions pursued.
Deliver high quality well tested software that meets agreed requirements.
Promote best software development practices.
Collaborate.
Support and promote agile practices including Scrum and XP.

Knowledge, Skills and Experience:
Minimum 3 years experience developing non trivial iOS Apps that have been released in the app store.
Good Knowledge on the Libraries/API's as Facebook iOS SDK, Twitter iOS SDK, Google Analytics API, Flurry, Amazon API, Google Maps API, Google Ads API, Facebook API, Facebook SDK, Facebook Open Graph API and OpenGL.
Strong proficiency in Swift and associated Design Patterns.
Solid understanding of software engineering.
Experience writing tests, automating these and adopting TDD desirable.
Good knowledge of web technologies and paradigms (JSON, Ajax, AMF, HTTP, REST).
Team working experience.
Nice to have a knowledge and understanding of concurrent programming.
Nice to have an understanding of profiling tools and memory management.","Grid Logic Software Private Limited
4.7",Hyderabad
iOS Developer,"About Flock

Flock is founded by Bhavin Turakhia. Bhavin has also been the Founder / Co-Founder of Media.net, Directi, Radix, Ringo, Codechef and Zeta. These businesses comprise of 1500+ people, 8+ offices, 10+ million customers, revenues over $250+ million and a group enterprise value of over $1.4 billion.

Flock is an enterprise messaging and collaboration app that aims at increasing productivity and improving team-communication in organizations of all shapes and sizes. At Flock, we believe that enterprise communication should be richer and efficient. With that goal, we have developed and deployed an outstanding suite of products that enhances workplace communication and productivity.

Flock’s feature set includes :
- Secure one on one chat/ Group chat
- Video conferencing
- Audio Conferencing
- Process Automation
- Real time business process and workflow automation
- Mailing lists… and much more

With teams at companies like Tim Hortons, Victorinox, Aranca, Mothercare, Ricoh and Ituran improving their workplace collaboration using Flock, we are already helping teams have richer and more efficient communication around the globe.

Additional Resources
Recommended - Detailed Intro to Flock
Flock Intro video
Flock vs Slack video
About Flock’s Platform
Our Youtube Channel

Client Case Studies
How Ituran improved communication with Flock
How Dietitians on demand increased efficiency with Flock
How Hiyo created a virtual office for remote teams with Flock

As an iOS engineer at Flock, you will be creating and contributing to multiple products using latest iOS technologies within a passionate team of world class engineers. You will be working and coordinating with various product managers, designers and engineers. High commitment to problem solving skills, creation of quality output and constant learning is essential.
What is the Job like?
Design and build applications for multiple products on iOS platform
Ensure the performance, quality, and responsiveness aspect of applications
Collaborate with a team to define, design, and ship new features
Ownership of identifying, correcting bottlenecks and fixing bugs.Help maintain code quality and organization of code.
Who should apply for this Role?
Must have atleast 2 years and at max 5 years of experience working as an iOS applications
Proficient with Swift or Objective-C
Good problem solving and design skills
Experience with iOS frameworks such as Cocoa Touch, Core Data, Networking, etc.
Experience with threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services
Understanding of Apple’s design principles and interface guidelines
Experience with performance and memory tuning with tools such as Instruments.
Proficient understanding of Git
Benefits and Perks

We at Flock love our jobs. And it’s no surprise – we get to work on exciting, new projects with some of the best brains in the industry, and that too in a vibrant atmosphere that is designed to be comfortable and conducive for our personal and professional growth.

And Flock goes the extra mile to make you feel at home. We offer benefits ranging from affordable catered meals and even snacks on the house. Our works places are welcoming and fun, complete with bean bag chairs and ping pong tables. You are free to wear what makes you comfortable and choose the hours you keep, as a team. Oh, and we’ve got your family covered too, with great health insurance plans and other benefits. In short, everything you need to be your best self at work!

We are passionate about helping teams move to the next level of communication and collaboration, and believe that happy employees are key to achieving this goal.

If you like the idea of working on cutting-edge technologies and solutions that have a truly global impact, get in touch!","Directi
4.3",Bengaluru
iOS Developer,"Job Description

An iOS developer is responsible for developing applications for mobile devices powered by Apple’s iOS operating system. Ideally, a good iOS developer is proficient with one of the two programming languages for this platform: Objective-C or Swift. They must also have a strong understanding of the patterns and practices that revolve around the iOS platform.

Responsibilities
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Skills & Qualifications
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text
Degree in Computer Science, Engineering or a related subject
Proven working experience in software development
Working experience in iOS development
Have published one or more iOS apps in the app store
A deep familiarity with Objective-C & Cocoa Touch. Also having knowledge of Swift earns brownie point..
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.","Genext Students
4.3",Mumbai
